,description,project,duration,expected_duration,started_at,ended_at,project_hex_color
75,60min/AtCoderやる,エンジニアリング,1150,3600.0,2019-05-20T22:18:16+09:00,2019-05-20T22:37:26+09:00,#3750b5
76,40min/AtCoderやる,エンジニアリング,2317,2400.0,2019-05-20T21:22:02+09:00,2019-05-20T22:00:39+09:00,#3750b5
77,20min/LINEインターンに応募する,エンジニアリング,325,1200.0,2019-05-20T21:16:12+09:00,2019-05-20T21:21:37+09:00,#3750b5
78,Googleインターンコーディング試験,エンジニアリング,7787,,2019-05-20T17:53:48+09:00,2019-05-20T20:03:35+09:00,#3750b5
79,90min/AtCoder,エンジニアリング,3581,5400.0,2019-05-20T16:48:16+09:00,2019-05-20T17:47:57+09:00,#3750b5
80,90min/AtCoder,エンジニアリング,116,5400.0,2019-05-20T16:29:47+09:00,2019-05-20T16:31:43+09:00,#3750b5
81,60min/プログラミング演習課題,大学課題,3193,3600.0,2019-05-20T15:36:04+09:00,2019-05-20T16:29:17+09:00,#06aaf5
82,ゲームする,休憩,1864,,2019-05-20T15:04:58+09:00,2019-05-20T15:36:02+09:00,#fb8b14
83,60min/プログラミング演習課題,大学課題,38,3600.0,2019-05-20T15:04:15+09:00,2019-05-20T15:04:53+09:00,#06aaf5
84,60min/TOEFL スピーキング,院留学,3467,3600.0,2019-05-20T08:02:27+09:00,2019-05-20T09:00:14+09:00,#04bb9b
85,60min/TOEFLリスニング,院留学,3686,3600.0,2019-05-20T06:59:35+09:00,2019-05-20T08:01:01+09:00,#04bb9b
86,30min/TOEFLに申し込む,院留学,2493,1800.0,2019-05-19T23:11:56+09:00,2019-05-19T23:53:29+09:00,#04bb9b
87,180min/情報数理科学2,大学課題,7080,10800.0,2019-05-19T19:30:31+09:00,2019-05-19T21:28:31+09:00,#06aaf5
88,30min/TOEFLに申し込む,院留学,650,1800.0,2019-05-19T15:58:19+09:00,2019-05-19T16:09:09+09:00,#04bb9b
89,60min/TOEFLの振り返りと今後のアクション決め,院留学,3307,3600.0,2019-05-19T14:53:57+09:00,2019-05-19T15:49:04+09:00,#04bb9b
90,270min/TOEFL受験,院留学,14340,16200.0,2019-05-19T10:30:01+09:00,2019-05-19T14:29:01+09:00,#04bb9b
91,30min/TOEFLスピーキング,院留学,1946,1800.0,2019-05-19T08:05:23+09:00,2019-05-19T08:37:49+09:00,#04bb9b
92,ゲームする,休憩,1544,,2019-05-19T07:39:31+09:00,2019-05-19T08:05:15+09:00,#fb8b14
93,10min/TOEFL会場を調べる,院留学,1053,600.0,2019-05-18T22:28:20+09:00,2019-05-18T22:45:53+09:00,#04bb9b
94,ゲームする,休憩,470,,2019-05-18T21:26:51+09:00,2019-05-18T21:34:41+09:00,#fb8b14
95,20min/LTGMホームページの修正,コミュニティ運営,5031,1200.0,2019-05-18T17:50:14+09:00,2019-05-18T19:14:05+09:00,#890000
96,20min/LTGMホームページの修正,コミュニティ運営,3898,1200.0,2019-05-18T15:50:46+09:00,2019-05-18T16:55:44+09:00,#890000
97,15min/寝る,休憩,1683,900.0,2019-05-18T15:12:14+09:00,2019-05-18T15:40:17+09:00,#fb8b14
98,150min/情報数理科学2,大学課題,777,9000.0,2019-05-18T14:50:46+09:00,2019-05-18T15:03:43+09:00,#06aaf5
99,ゲームする,休憩,780,,2019-05-18T14:37:45+09:00,2019-05-18T14:50:45+09:00,#fb8b14
100,150min/情報数理科学2,大学課題,69,9000.0,2019-05-18T14:36:35+09:00,2019-05-18T14:37:44+09:00,#06aaf5
101,150min/情報工学3,大学課題,381,9000.0,2019-05-18T14:30:04+09:00,2019-05-18T14:36:25+09:00,#06aaf5
102,60min/GCI課題,大学課題,3282,3600.0,2019-05-18T13:34:37+09:00,2019-05-18T14:29:19+09:00,#06aaf5
103,ゲームする,休憩,623,,2019-05-18T13:23:25+09:00,2019-05-18T13:33:48+09:00,#fb8b14
